paperId,authorId,name,affiliations
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,17038002,Gavin Abercrombie,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2151319597,J. Alonso-Moral,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,9364658,Mohammad Arvan,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,3159752,J. Cheung,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2648584,Mark Cieliebak,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,40684993,Elizabeth Clark,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,10708829,K. V. Deemter,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,72115354,Tanvi Dinkar,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2544049,Ondrej Dusek,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2620186,Steffen Eger,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,1720986506,Qixiang Fang,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,1700894,Albert Gatt,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2921637,Dimitra Gkatzia,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2215866480,Javier Gonz'alez-Corbelle,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2022288,Dirk Hovy,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2165661802,Manuela Hurlimann,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,119804885,Takumi Ito,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,1380281888,John D. Kelleher,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,3201315,Filip Klubicka,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,66376493,Huiyuan Lai,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,50521235,Chris van der Lee,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,3192572,Emiel van Miltenburg,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2142159995,Yiru Li,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2221260,Saad Mahamood,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2921990,Margot Mieskes,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2742475,M. Nissim,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2326758,Natalie Parde,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2201327940,Ondvrej Pl'atek,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,1681799,Verena Rieser,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2150388522,Pablo Romero,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2086973507,Joel Tetreault,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,2065048323,Antonio Toral,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,9714242,Xiao-Yi Wan,
4fcfe83c05402b5c5fb6e853082e74af6379d7f9,9092408,L. Wanner,
